263095,04/02/2021,1762713,35326,1381163
263860,04/03/2021,1783169,35729,1390431
264625,04/04/2021,1797027,35994,1395133
265390,04/05/2021,1807327,36255,1400102
266155,04/06/2021,1820725,36692,1410466
266920,04/07/2021,1836260,37178,1422086
267685,04/08/2021,1855806,37649,1432220
268450,04/09/2021,1875605,38074,1443522
269215,04/10/2021,1893192,38479,1454351
269980,04/11/2021,1905430,38718,1459409
270745,04/12/2021,1913415,39012,1464790
271510,04/13/2021,1925224,39477,1478945
272275,04/14/2021,1939901,39950,1491430
273040,04/15/2021,1956454,40389,1502688
273805,04/16/2021,1974056,40832,1514849
274570,04/17/2021,1989160,41278,1524711
275335,04/18/2021,1999567,41534,1531262
276100,04/19/2021,2006197,41755,1536877
276865,04/20/2021,2015257,42129,1549115
277630,04/21/2021,2027544,42565,1563969
278395,04/22/2021,2043901,43041,1582924
279160,04/23/2021,2058301,43483,1602004
279925,04/24/2021,2071142,43884,1615812
280690,04/25/2021,2079200,44121,1622422
281455,04/26/2021,2084384,44323,1629342
282220,04/27/2021,2092421,44763,1646858
282985,04/28/2021,2102130,45211,1667089
283750,04/29/2021,2113880,45607,1685659
284515,04/30/2021,2124070,45923,1705967
285280,05/01/2021,2132742,46281,1721091
286045,05/02/2021,2137959,46447,1726927
286810,05/03/2021,2140838,46607,1732495
287575,05/04/2021,2143427,46781,1740385
288340,05/05/2021,2146121,46950,1748230
289105,05/06/2021,2152280,47331,1762718
289870,05/07/2021,2160809,47717,1782321
290635,05/08/2021,2169650,48095,1801896
291400,05/09/2021,2175151,48294,1811171
292165,05/10/2021,2178095,48419,1820216
292930,05/11/2021,2180429,48544,1828877
293695,05/12/2021,2185088,48908,1848883
294460,05/13/2021,2192022,49261,1868522
295225,05/14/2021,2199708,49554,1884643
295990,05/15/2021,2206627,49881,1901897
296755,05/16/2021,2210375,50019,1909852
297520,05/17/2021,2212635,50132,1916751
298285,05/18/2021,2216856,50425,1934682
299050,05/19/2021,2222115,50658,1952019
299815,05/20/2021,2227400,50867,1969055
300580,05/21/2021,2232510,51076,1982131
301345,05/22/2021,2237240,51260,1994944
302110,05/23/2021,2239897,51353,2003916
302875,05/24/2021,2241354,51425,2010931
303640,05/25/2021,2244084,51682,2028598
304405,05/26/2021,2247605,51898,2043720
305170,05/27/2021,2251242,52088,2060753
305935,05/28/2021,2254674,52252,2074174
